,alpha,lower,upper,mean,label
0,95.0,93.78184929603441,95.23322018472624,0.9452111202059479,Multilang_VS1
0,95.0,95.562812477105,96.26182012939931,0.958953980127783,cpp_VS1
0,95.0,94.91516057753697,95.74077171743616,0.9529188568587661,Multilang_VS1
0,95.0,95.12416679440433,95.89220908822897,0.9554134347909446,java_VS1
0,95.0,94.13649811296617,95.23841992899635,0.946919593168298,Multilang_VS1
0,95.0,94.57875967504638,95.784038572251,0.9517596030832217,javascript_VS1
0,95.0,91.80032106550179,93.60545907740175,0.9254839199774839,Multilang_VS1
0,95.0,92.68357168262035,93.76550416970689,0.9324146937829344,php_VS1
0,95.0,91.36559906185258,92.08538577089675,0.9170099000907755,Multilang_VS1
0,95.0,91.82885760122485,92.41885162760155,0.9210114646067035,python_VS1
